,name,version,description,keywords,dependencies,devDependencies,communityInterest,downloadsCount,downloadsAcceleration,dependentsCount,quality,popularity,maintenance
13,accepts,1.3.7,Higher-level content negotiation,"['content', 'negotiation', 'accept', 'accepts']","{'mime-types': '~2.1.24', 'negotiator': '0.6.2'}","{'deep-equal': '1.0.1', 'eslint': '5.16.0', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.17.2', 'eslint-plugin-markdown': '1.0.0', 'eslint-plugin-node': '8.0.1', 'eslint-plugin-promise': '4.1.1', 'eslint-plugin-standard': '4.0.0', 'mocha': '6.1.4', 'nyc': '14.0.0'}",278,66765313.333333336,128921.62267884333,550,0.8999999999999999,0.6043446095643724,0.999894531306083
14,mime-types,2.1.30,The ultimate javascript content-type utility.,"['mime', 'types']",{'mime-db': '1.47.0'},"{'eslint': '7.23.0', 'eslint-config-standard': '14.1.1', 'eslint-plugin-import': '2.22.1', 'eslint-plugin-markdown': '2.0.0', 'eslint-plugin-node': '11.1.0', 'eslint-plugin-promise': '4.3.1', 'eslint-plugin-standard': '4.1.0', 'mocha': '8.3.2', 'nyc': '15.1.0'}",1041,139978975.0,371683.7631659056,2426,0.8999999999999999,0.7309786705832009,0.9999045475247557
15,mime-db,1.47.0,Media Type Database,"['mime', 'db', 'type', 'types', 'database', 'charset', 'charsets']",,"{'bluebird': '3.7.2', 'co': '4.6.0', 'cogent': '1.0.1', 'csv-parse': '4.15.3', 'eslint': '7.23.0', 'eslint-config-standard': '15.0.1', 'eslint-plugin-import': '2.22.1', 'eslint-plugin-markdown': '2.0.0', 'eslint-plugin-node': '11.1.0', 'eslint-plugin-promise': '4.3.1', 'eslint-plugin-standard': '4.1.0', 'gnode': '0.1.2', 'mocha': '8.3.2', 'nyc': '15.1.0', 'raw-body': '2.4.1', 'stream-to-array': '2.3.0'}",889,157770406.66666666,535796.891933029,299,0.8999999999999999,0.651142562435222,0.8766096954772437
16,negotiator,0.6.2,HTTP content negotiation,"['http', 'content negotiation', 'accept', 'accept-language', 'accept-encoding', 'accept-charset']",,"{'eslint': '5.16.0', 'eslint-plugin-markdown': '1.0.0', 'mocha': '6.1.4', 'nyc': '14.0.0'}",269,66079665.333333336,127146.35781963472,245,0.9174246488689691,0.5766599152368432,0.19210109066143594
17,array-flatten,3.0.0,Flatten nested arrays,"['array', 'flatten', 'arguments', 'depth', 'fast', 'for']",,"{'@size-limit/preset-small-lib': '^2.2.1', '@types/jest': '^24.0.23', '@types/node': '^12.12.11', 'benchmarked': '^2.0.0', 'husky': '^3.1.0', 'jest': '^24.9.0', 'lint-staged': '^9.4.3', 'prettier': '^1.19.1', 'ts-expect': '^1.1.0', 'ts-jest': '^24.1.0', 'tslint': '^5.20.1', 'tslint-config-prettier': '^1.18.0', 'tslint-config-standard': '^9.0.0', 'typescript': '^3.7.2'}",115,93046030.66666667,246607.88489345508,353,0.989472659492533,0.5882647587453123,0.999894531306083
18,body-parser,1.19.0,Node.js body parsing middleware,,"{'bytes': '3.1.0', 'content-type': '~1.0.4', 'debug': '2.6.9', 'depd': '~1.1.2', 'http-errors': '1.7.2', 'iconv-lite': '0.4.24', 'on-finished': '~2.3.0', 'qs': '6.7.0', 'raw-body': '2.4.0', 'type-is': '~1.6.17'}","{'eslint': '5.16.0', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.17.2', 'eslint-plugin-markdown': '1.0.0', 'eslint-plugin-node': '8.0.1', 'eslint-plugin-promise': '4.1.1', 'eslint-plugin-standard': '4.0.0', 'istanbul': '0.4.5', 'methods': '1.1.2', 'mocha': '6.1.4', 'safe-buffer': '5.1.2', 'supertest': '4.0.2'}",6072,67370602.66666667,147402.33481735166,14184,0.9391886619452264,0.8409345256508446,0.44357205887946133
19,bytes,3.1.0,Utility to parse a string bytes to bytes and vice-versa,"['byte', 'bytes', 'utility', 'parse', 'parser', 'convert', 'converter']",,"{'eslint': '5.12.1', 'mocha': '5.2.0', 'nyc': '13.1.0'}",472,116073687.33333333,329356.7796803651,814,0.8999999999999999,0.6587935329703707,0.999894531306083
20,content-type,1.0.4,Create and parse HTTP Content-Type header,"['content-type', 'http', 'req', 'res', 'rfc7231']",,"{'eslint': '3.19.0', 'eslint-config-standard': '10.2.1', 'eslint-plugin-import': '2.7.0', 'eslint-plugin-node': '5.1.1', 'eslint-plugin-promise': '3.5.0', 'eslint-plugin-standard': '3.0.1', 'istanbul': '0.4.5', 'mocha': '~1.21.5'}",148,59947838.666666664,146891.67538051744,635,0.9995248552319843,0.5941193353145413,0.999894531306083
21,debug,4.3.1,small debugging utility,"['debug', 'log', 'debugger']",{'ms': '2.1.2'},"{'brfs': '^2.0.1', 'browserify': '^16.2.3', 'coveralls': '^3.0.2', 'istanbul': '^0.4.5', 'karma': '^3.1.4', 'karma-browserify': '^6.0.0', 'karma-chrome-launcher': '^2.2.0', 'karma-mocha': '^1.3.0', 'mocha': '^5.2.0', 'mocha-lcov-reporter': '^1.2.0', 'xo': '^0.23.0'}",11146,397907693.3333333,1312313.881259513,29508,0.8176883930011646,0.9204994668720634,0.6560319863995477
22,ms,2.1.3,Tiny millisecond conversion utility,,,"{'eslint': '4.18.2', 'expect.js': '0.3.1', 'husky': '0.14.3', 'lint-staged': '5.0.0', 'mocha': '4.0.1', 'prettier': '2.0.5'}",3788,344737764.6666667,1391854.4910768648,1686,0.8348371147464844,0.7717309653744484,0.999894531306083
23,depd,2.0.0,Deprecate all the things,"['deprecate', 'deprecated']",,"{'benchmark': '2.1.4', 'beautify-benchmark': '0.2.4', 'eslint': '5.7.0', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.14.0', 'eslint-plugin-markdown': '1.0.0-beta.7', 'eslint-plugin-node': '7.0.1', 'eslint-plugin-promise': '4.0.1', 'eslint-plugin-standard': '4.0.0', 'istanbul': '0.4.5', 'mocha': '5.2.0', 'safe-buffer': '5.1.2', 'uid-safe': '2.1.5'}",376,88381469.0,199447.69533866062,564,0.8999999999999999,0.6274276658859854,0.999894531306083
24,http-errors,1.8.0,Create HTTP error objects,"['http', 'error']","{'depd': '~1.1.2', 'inherits': '2.0.4', 'setprototypeof': '1.2.0', 'statuses': '>= 1.5.0 < 2', 'toidentifier': '1.0.0'}","{'eslint': '6.8.0', 'eslint-config-standard': '14.1.1', 'eslint-plugin-import': '2.22.0', 'eslint-plugin-markdown': '1.0.2', 'eslint-plugin-node': '11.1.0', 'eslint-plugin-promise': '4.2.1', 'eslint-plugin-standard': '4.0.1', 'mocha': '8.0.1', 'nyc': '15.1.0'}",1203,140457361.0,347848.52994672745,1382,0.839663806713242,0.7120655903286734,0.999894531306083
25,inherits,2.0.4,Browser-friendly inheritance fully compatible with standard node.js inherits(),"['inheritance', 'class', 'klass', 'oop', 'object-oriented', 'inherits', 'browser', 'browserify']",,{'tap': '^14.2.4'},477,219886617.0,738381.2609969559,2360,0.8179011286168503,0.712873049688668,0.9998651952945008
26,setprototypeof,1.2.0,A small polyfill for Object.setprototypeof,"['polyfill', 'object', 'setprototypeof']",,"{'mocha': '^6.1.4', 'standard': '^13.0.2'}",63,111700711.0,273836.94461567723,213,0.9198357047686554,0.5667556201948357,0.9998889709777594
27,statuses,2.0.1,HTTP status utility,"['http', 'status', 'code']",,"{'csv-parse': '4.14.2', 'eslint': '7.17.0', 'eslint-config-standard': '14.1.1', 'eslint-plugin-import': '2.22.1', 'eslint-plugin-markdown': '1.0.2', 'eslint-plugin-node': '11.1.0', 'eslint-plugin-promise': '4.2.1', 'eslint-plugin-standard': '4.1.0', 'mocha': '8.2.1', 'nyc': '15.1.0', 'raw-body': '2.4.1', 'stream-to-array': '2.3.0'}",291,81054208.66666667,198853.6473554034,442,0.8999999999999999,0.6102434548689984,0.999894531306083
28,toidentifier,1.0.0,Convert a string of words to a JavaScript identifier,,,"{'eslint': '4.19.1', 'eslint-config-standard': '11.0.0', 'eslint-plugin-import': '2.11.0', 'eslint-plugin-markdown': '1.0.0-beta.6', 'eslint-plugin-node': '6.0.1', 'eslint-plugin-promise': '3.7.0', 'eslint-plugin-standard': '3.1.0', 'mocha': '1.21.5', 'nyc': '11.8.0'}",18,67607536.33333333,218534.28555936064,56,0.989472659492533,0.5011620646767404,0.9999405727453268
29,iconv-lite,0.6.2,Convert character encodings in pure javascript.,"['iconv', 'convert', 'charset', 'icu']",{'safer-buffer': '>= 2.1.2 < 3.0.0'},"{'async': '^3.2.0', 'c8': '^7.2.0', 'errto': '^0.2.1', 'iconv': '^2.3.5', 'mocha': '^3.5.3', 'request': '^2.88.2', 'semver': '^6.3.0', 'unorm': '^1.6.0'}",2989,121539777.66666667,375241.9327245053,2553,0.875629095060401,0.76973448546479,0.6036304566716277
30,safer-buffer,2.1.2,Modern Buffer API polyfill without footguns,,,"{'standard': '^11.0.1', 'tape': '^4.9.0'}",42,93222102.33333333,307788.67562785384,155,0.9652113103015547,0.5490742645237908,0.9998651952945008
31,on-finished,2.3.0,"Execute a callback when a request closes, finishes, or errors",,{'ee-first': '1.1.1'},"{'istanbul': '0.3.9', 'mocha': '2.2.5'}",416,63178567.666666664,149605.30028538813,769,0.9831014645372192,0.627987494807706,0.999894531306083
32,ee-first,1.1.1,return the first event in a set of ee/event pairs,,,"{'istanbul': '0.3.9', 'mocha': '2.2.5'}",65,64353911.666666664,156568.072108067,135,0.972536673362899,0.5335750950523872,0.9999405727453268
33,qs,6.10.1,"A querystring parser that supports nesting and arrays, with a depth limit","['querystring', 'qs', 'query', 'url', 'parse', 'stringify']",{'side-channel': '^1.0.4'},"{'@ljharb/eslint-config': '^17.5.1', 'aud': '^1.1.4', 'browserify': '^16.5.2', 'eclint': '^2.8.1', 'eslint': '^7.22.0', 'evalmd': '^0.0.19', 'for-each': '^0.3.3', 'has-symbols': '^1.0.2', 'iconv-lite': '^0.5.1', 'in-publish': '^2.0.1', 'mkdirp': '^0.5.5', 'nyc': '^10.3.2', 'object-inspect': '^1.9.0', 'qs-iconv': '^1.0.4', 'safe-publish-latest': '^1.1.4', 'safer-buffer': '^2.1.2', 'tape': '^5.2.2'}",6973,212771873.0,654898.609741248,6372,0.9659424515702112,0.8516037838113377,0.6666295788960543
34,side-channel,1.0.4,Store information about any JS value in a side channel. Uses WeakMap if available.,"['weakmap', 'map', 'side', 'channel', 'metadata']","{'call-bind': '^1.0.0', 'get-intrinsic': '^1.0.2', 'object-inspect': '^1.9.0'}","{'@ljharb/eslint-config': '^17.3.0', 'aud': '^1.1.3', 'auto-changelog': '^2.2.1', 'eslint': '^7.16.0', 'nyc': '^10.3.2', 'safe-publish-latest': '^1.1.4', 'tape': '^5.0.1'}",11,26944982.666666668,120850.7676369863,30,0.8068714805892145,0.4420493135626465,0.9999233855325751
35,call-bind,1.0.2,Robustly `.call.bind()` a function,"['javascript', 'ecmascript', 'es', 'js', 'callbind', 'callbound', 'call', 'bind', 'bound', 'call-bind', 'call-bound', 'function', 'es-abstract']","{'function-bind': '^1.1.1', 'get-intrinsic': '^1.0.2'}","{'@ljharb/eslint-config': '^17.3.0', 'aud': '^1.1.3', 'auto-changelog': '^2.2.1', 'eslint': '^7.17.0', 'nyc': '^10.3.2', 'safe-publish-latest': '^1.1.4', 'tape': '^5.1.1'}",5,51408470.333333336,534876.102130898,88,0.8532037387504237,0.49795969790467154,0.9998651952945008
36,function-bind,1.1.1,Implementation of Function.prototype.bind,"['function', 'bind', 'shim', 'es5']",,"{'@ljharb/eslint-config': '^12.2.1', 'covert': '^1.1.0', 'eslint': '^4.5.0', 'jscs': '^3.0.7', 'tape': '^4.8.0'}",145,74265774.33333333,266466.4475076103,194,0.9240990074750551,0.5703175207204609,0.9999405727453268
37,get-intrinsic,1.1.1,Get and robustly cache all JS language-level intrinsics at first require time,"['javascript', 'ecmascript', 'es', 'js', 'intrinsic', 'getintrinsic', 'es-abstract']","{'function-bind': '^1.1.1', 'has': '^1.0.3', 'has-symbols': '^1.0.1'}","{'@ljharb/eslint-config': '^17.5.0', 'aud': '^1.1.3', 'auto-changelog': '^2.2.1', 'call-bind': '^1.0.2', 'es-abstract': '^1.18.0-next.2', 'es-value-fixtures': '^1.0.0', 'eslint': '^7.19.0', 'evalmd': '^0.0.19', 'foreach': '^2.0.5', 'has-bigints': '^1.0.1', 'make-async-function': '^1.0.0', 'make-async-generator-function': '^1.0.0', 'make-generator-function': '^2.0.0', 'nyc': '^10.3.2', 'object-inspect': '^1.9.0', 'tape': '^5.1.1'}",5,58424139.0,573431.6617960426,48,0.9975317400828351,0.4892450330454753,0.9999116786162452
38,has,1.0.3,Object.prototype.hasOwnProperty.call shortcut,,{'function-bind': '^1.1.1'},"{'@ljharb/eslint-config': '^12.2.1', 'eslint': '^4.19.1', 'tape': '^4.9.0'}",69,75856164.0,276858.5168188736,314,0.7980264522396994,0.5715503324726142,0.999894531306083
39,has-symbols,1.0.2,"Determine if the JS environment has Symbol support. Supports spec, or shams.","['Symbol', 'symbols', 'typeof', 'sham', 'polyfill', 'native', 'core-js', 'ES6']",,"{'@ljharb/eslint-config': '^17.5.1', 'aud': '^1.1.4', 'auto-changelog': '^2.2.1', 'core-js': '^2.6.12', 'eslint': '^7.20.0', 'get-own-property-symbols': '^0.9.5', 'nyc': '^10.3.2', 'safe-publish-latest': '^1.1.4', 'tape': '^5.2.0'}",14,78116097.0,231183.2351407915,112,0.9659424515702112,0.5186413521319311,0.999894531306083
40,object-inspect,1.9.0,string representations of objects in node and the browser,"['inspect', 'util.inspect', 'object', 'stringify', 'pretty']",,"{'@ljharb/eslint-config': '^17.3.0', 'aud': '^1.1.3', 'core-js': '^2.6.12', 'eslint': '^7.14.0', 'for-each': '^0.3.3', 'nyc': '^10.3.2', 'safe-publish-latest': '^1.1.4', 'string.prototype.repeat': '^1.0.0', 'tape': '^5.0.1'}",138,75102467.0,226480.91181506857,139,0.8792862294975092,0.558411460984318,0.999894531306083
41,raw-body,2.4.1,Get and validate the raw body of a readable stream.,,"{'bytes': '3.1.0', 'http-errors': '1.7.3', 'iconv-lite': '0.4.24', 'unpipe': '1.0.0'}","{'bluebird': '3.5.5', 'eslint': '6.0.1', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.18.0', 'eslint-plugin-markdown': '1.0.0', 'eslint-plugin-node': '9.1.0', 'eslint-plugin-promise': '4.2.1', 'eslint-plugin-standard': '4.0.0', 'istanbul': '0.4.5', 'mocha': '6.1.4', 'readable-stream': '2.3.6', 'safe-buffer': '5.1.2'}",383,79039964.66666667,164147.55833333347,663,0.9391886619452264,0.627984550875866,0.999894531306083
42,unpipe,1.0.0,Unpipe a stream from all destinations,,,"{'istanbul': '0.3.15', 'mocha': '2.2.5', 'readable-stream': '1.1.13'}",31,65287832.0,149596.84554794524,156,0.9831014645372192,0.5256358450404296,0.9999405727453268
43,type-is,1.6.18,Infer the content-type of a request.,"['content', 'type', 'checking']","{'media-typer': '0.3.0', 'mime-types': '~2.1.24'}","{'eslint': '5.16.0', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.17.2', 'eslint-plugin-markdown': '1.0.0', 'eslint-plugin-node': '8.0.1', 'eslint-plugin-promise': '4.1.1', 'eslint-plugin-standard': '4.0.0', 'mocha': '6.1.4', 'nyc': '14.0.0'}",256,62762820.0,141333.32461948256,554,0.8910921101197796,0.6023987765257514,0.999894531306083
44,media-typer,1.1.0,Simple RFC 6838 media type parser and formatter,,,"{'eslint': '5.16.0', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.17.2', 'eslint-plugin-markdown': '1.0.0', 'eslint-plugin-node': '8.0.1', 'eslint-plugin-promise': '4.1.1', 'eslint-plugin-standard': '4.0.0', 'mocha': '6.1.4', 'nyc': '14.0.0'}",68,61819403.0,153180.81385083718,208,0.8999999999999999,0.5446280865942148,0.999894531306083
45,content-disposition,0.5.3,Create and parse Content-Disposition header,"['content-disposition', 'http', 'rfc6266', 'res']",{'safe-buffer': '5.1.2'},"{'deep-equal': '1.0.1', 'eslint': '5.10.0', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.14.0', 'eslint-plugin-markdown': '1.0.0-rc.1', 'eslint-plugin-node': '7.0.1', 'eslint-plugin-promise': '4.0.1', 'eslint-plugin-standard': '4.0.0', 'istanbul': '0.4.5', 'mocha': '5.2.0'}",224,82985481.66666667,324029.80055175035,396,0.9085167589887488,0.606889835075462,0.16666666666666666
46,safe-buffer,5.2.1,Safer Node.js Buffer API,"['buffer', 'buffer allocate', 'node security', 'safe', 'safe-buffer', 'security', 'uninitialized']",,"{'standard': '*', 'tape': '^5.0.0'}",347,198989375.33333334,658561.7837899544,1141,0.9683341419631268,0.6737834825817377,0.999925726878756
47,cookie,0.4.1,HTTP server cookie parsing and serialization,"['cookie', 'cookies']",,"{'beautify-benchmark': '0.2.4', 'benchmark': '2.1.4', 'eslint': '6.8.0', 'eslint-plugin-markdown': '1.0.2', 'mocha': '7.1.1', 'nyc': '15.0.1'}",1067,89172183.33333333,236061.64750761027,1658,0.8178997936369847,0.7028124890309244,0.521837661899448
48,cookie-signature,1.1.0,Sign and unsign cookies,"['cookie', 'sign', 'unsign']",,"{'mocha': '*', 'should': '*'}",170,63154036.0,166890.26388888888,385,0.8284659197911706,0.5835129585632447,0.999894531306083
49,encodeurl,1.0.2,"Encode a URL to a percent-encoded form, excluding already-encoded sequences","['encode', 'encodeurl', 'url']",,"{'eslint': '3.19.0', 'eslint-config-standard': '10.2.1', 'eslint-plugin-import': '2.8.0', 'eslint-plugin-node': '5.2.1', 'eslint-plugin-promise': '3.6.0', 'eslint-plugin-standard': '3.0.1', 'istanbul': '0.4.5', 'mocha': '2.5.3'}",46,64134921.666666664,158321.1321537291,275,0.9995248552319843,0.5481736485013706,0.9999405727453268
50,escape-html,1.0.3,Escape string for use in HTML,"['escape', 'html', 'utility']",,"{'benchmark': '1.0.0', 'beautify-benchmark': '0.2.4'}",426,65631111.333333336,164119.61756088282,955,0.6798079464592002,0.6394959308928656,0.4999886023720551
51,etag,1.8.1,Create simple HTTP ETags,"['etag', 'http', 'res']",,"{'beautify-benchmark': '0.2.4', 'benchmark': '2.1.4', 'eslint': '3.19.0', 'eslint-config-standard': '10.2.1', 'eslint-plugin-import': '2.7.0', 'eslint-plugin-markdown': '1.0.0-beta.6', 'eslint-plugin-node': '5.1.1', 'eslint-plugin-promise': '3.5.0', 'eslint-plugin-standard': '3.0.1', 'istanbul': '0.4.5', 'mocha': '1.21.5', 'safe-buffer': '5.1.1', 'seedrandom': '2.4.3'}",249,66417935.333333336,154611.85239726026,717,0.9995248552319843,0.6142035009695271,0.999894531306083
52,finalhandler,1.1.2,Node.js final http responder,,"{'debug': '2.6.9', 'encodeurl': '~1.0.2', 'escape-html': '~1.0.3', 'on-finished': '~2.3.0', 'parseurl': '~1.3.3', 'statuses': '~1.5.0', 'unpipe': '~1.0.0'}","{'eslint': '5.16.0', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.17.2', 'eslint-plugin-markdown': '1.0.0', 'eslint-plugin-node': '8.0.1', 'eslint-plugin-promise': '4.1.1', 'eslint-plugin-standard': '4.0.0', 'istanbul': '0.4.5', 'mocha': '6.1.4', 'readable-stream': '2.3.6', 'safe-buffer': '5.1.2', 'supertest': '4.0.2'}",261,69129521.33333333,145343.79509132414,576,0.9391886619452264,0.6075072269089191,0.999894531306083
53,parseurl,1.3.3,parse a url with memoization,,,"{'beautify-benchmark': '0.2.4', 'benchmark': '2.1.4', 'eslint': '5.16.0', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.17.1', 'eslint-plugin-node': '7.0.1', 'eslint-plugin-promise': '4.1.1', 'eslint-plugin-standard': '4.0.0', 'fast-url-parser': '1.1.3', 'istanbul': '0.4.5', 'mocha': '6.1.3'}",223,65563234.0,168058.67231735156,701,0.8999999999999999,0.6117453537160946,0.9999103147028916
